#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ERF24	OS04T0667800-01	4530.OS09T0522200-01	4530.OS04T0667800-01	0	0	0	0	0	0	0	0.409	0.408
ERF24	OS04T0678400-01	4530.OS09T0522200-01	4530.OS04T0678400-01	0	0	0	0	0	0	0	0.423	0.422
ERF24	OsJ_16882	4530.OS09T0522200-01	4530.OS05T0114400-01	0	0	0	0	0	0	0	0.691	0.691
ERF24	OSH71	4530.OS09T0522200-01	4530.OS05T0129700-01	0	0	0	0	0	0	0	0.490	0.489
ERF24	OS05T0480200-01	4530.OS09T0522200-01	4530.OS05T0480200-01	0	0	0	0	0	0	0	0.436	0.436
ERF24	OS05T0495900-01	4530.OS09T0522200-01	4530.OS05T0495900-01	0	0	0	0	0	0	0	0.616	0.616
ERF24	P0560C03.2	4530.OS09T0522200-01	4530.OS05T0549800-01	0	0	0	0	0	0	0	0.427	0.426
ERF24	OS06T0125000-00	4530.OS09T0522200-01	4530.OS06T0125000-00	0	0	0	0	0	0	0	0.565	0.565
ERF24	OS06T0181700-01	4530.OS09T0522200-01	4530.OS06T0181700-01	0	0	0	0	0	0	0	0.571	0.571
ERF24	OS06T0267500-01	4530.OS09T0522200-01	4530.OS06T0267500-01	0	0	0	0	0	0	0	0.444	0.444
ERF24	OsJ_21903	4530.OS09T0522200-01	4530.OS06T0604000-02	0	0	0	0	0	0	0	0.571	0.571
ERF24	HAP5B	4530.OS09T0522200-01	4530.OS06T0667100-01	0	0	0	0	0	0	0	0.440	0.440
ERF24	OsJ_22904	4530.OS09T0522200-01	4530.OS07T0119300-01	0	0	0	0	0	0	0	0.494	0.493
ERF24	NCED4	4530.OS09T0522200-01	4530.OS07T0154100-01	0	0	0	0	0	0	0	0.471	0.471
ERF24	OS07T0410300-01	4530.OS09T0522200-01	4530.OS07T0410300-01	0	0	0	0	0	0	0	0.497	0.497
ERF24	OS07T0589000-01	4530.OS09T0522200-01	4530.OS07T0589000-01	0	0	0	0	0	0	0	0.502	0.502
ERF24	OSH45	4530.OS09T0522200-01	4530.OS08T0292900-01	0	0	0	0	0	0	0	0.562	0.562
ERF24	SAP11	4530.OS09T0522200-01	4530.OS08T0504700-01	0	0	0	0	0.550	0	0	0.102	0.578
ERF24	OsJ_29287	4530.OS09T0522200-01	4530.OS09T0401000-01	0	0	0	0	0	0	0	0.451	0.451
ERF24	OS09T0530275-00	4530.OS09T0522200-01	4530.OS09T0530275-00	0	0	0	0	0	0	0	0.408	0.408
ERF24	OS09T0530300-01	4530.OS09T0522200-01	4530.OS09T0530300-01	0	0	0	0	0	0	0	0.408	0.408
ERF24	OsJ_30162	4530.OS09T0522200-01	4530.OS09T0538800-01	0	0	0	0	0	0	0	0.465	0.465
HAP5B	RAA1	4530.OS06T0667100-01	4530.OS01T0257300-01	0	0	0	0	0	0	0	0.597	0.597
HAP5B	OsJ_04706	4530.OS06T0667100-01	4530.OS01T0938200-01	0	0	0	0	0	0	0	0.692	0.692
HAP5B	OS02T0610500-01	4530.OS06T0667100-01	4530.OS02T0610500-01	0	0	0	0	0	0.154	0	0.601	0.648
HAP5B	OS04T0678400-01	4530.OS06T0667100-01	4530.OS04T0678400-01	0	0	0	0	0	0	0	0.606	0.606
HOX13	OsJ_13136	4530.OS03T0188900-01	4530.OS03T0820300-01	0	0	0	0	0	0.104	0	0.644	0.667
HOX13	OSH71	4530.OS03T0188900-01	4530.OS05T0129700-01	0	0	0	0	0	0.042	0	0.770	0.770
HOX13	OSH45	4530.OS03T0188900-01	4530.OS08T0292900-01	0	0	0	0	0	0.042	0	0.774	0.774
HOX17	OsJ_13136	4530.OS04T0548700-01	4530.OS03T0820300-01	0	0	0	0	0	0.104	0	0.695	0.715
HOX17	OSH71	4530.OS04T0548700-01	4530.OS05T0129700-01	0	0	0	0	0	0.042	0	0.770	0.770
HOX17	OSH45	4530.OS04T0548700-01	4530.OS08T0292900-01	0	0	0	0	0	0.042	0	0.775	0.775
HSFC1A	OsJ_02543	4530.OS01T0625300-01	4530.OS01T0606900-01	0	0	0	0	0	0.166	0	0.753	0.785
HSFC1A	OS09T0530275-00	4530.OS01T0625300-01	4530.OS09T0530275-00	0	0	0	0	0	0	0	0.408	0.408
HSFC1A	OS09T0530300-01	4530.OS01T0625300-01	4530.OS09T0530300-01	0	0	0	0	0	0	0	0.408	0.408
OS01T0693400-01	OS05T0480200-01	4530.OS01T0693400-01	4530.OS05T0480200-01	0	0	0	0	0	0	0	0.454	0.454
OS01T0819200-00	OsJ_02889	4530.OS01T0819200-00	4530.OS01T0659200-01	0	0	0	0	0	0	0	0.547	0.547
OS01T0819200-00	OsJ_03777	4530.OS01T0819200-00	4530.OS01T0801500-01	0	0	0	0	0	0	0	0.496	0.495
OS01T0819200-00	OS01T0944500-00	4530.OS01T0819200-00	4530.OS01T0944500-00	0	0	0	0	0	0	0	0.466	0.465
OS01T0819200-00	OsJ_18736	4530.OS01T0819200-00	4530.OS01T0940700-02	0	0	0	0	0	0	0	0.466	0.465
OS01T0819200-00	OS05T0495900-01	4530.OS01T0819200-00	4530.OS05T0495900-01	0	0	0	0	0	0	0	0.615	0.615
OS01T0819200-00	OsJ_30162	4530.OS01T0819200-00	4530.OS09T0538800-01	0	0	0	0.978	0	0	0.900	0	0.900
OS01T0819300-01	OsJ_02889	4530.OS01T0819300-01	4530.OS01T0659200-01	0	0	0	0	0	0	0	0.547	0.547
OS01T0819300-01	OsJ_03777	4530.OS01T0819300-01	4530.OS01T0801500-01	0	0	0	0	0	0	0	0.496	0.495
OS01T0819300-01	OS01T0944500-00	4530.OS01T0819300-01	4530.OS01T0944500-00	0	0	0	0	0	0	0	0.466	0.465
OS01T0819300-01	OsJ_18736	4530.OS01T0819300-01	4530.OS01T0940700-02	0	0	0	0	0	0	0	0.466	0.465
OS01T0819300-01	OS05T0495900-01	4530.OS01T0819300-01	4530.OS05T0495900-01	0	0	0	0	0	0	0	0.615	0.615
OS01T0944500-00	OsJ_02889	4530.OS01T0944500-00	4530.OS01T0659200-01	0	0	0	0	0	0	0	0.596	0.596
OS01T0944500-00	OsJ_30162	4530.OS01T0944500-00	4530.OS09T0538800-01	0	0	0	0	0	0	0	0.466	0.465
OS01T0944700-01	OsJ_02889	4530.OS01T0944700-01	4530.OS01T0659200-01	0	0	0	0	0	0	0	0.537	0.537
OS01T0952900-01	WRKY24	4530.OS01T0952900-01	4530.OS01T0826400-01	0	0	0	0	0.609	0	0	0.080	0.624
OS01T0952900-01	OsJ_11413	4530.OS01T0952900-01	4530.OS03T0445700-01	0	0	0	0	0	0	0	0.501	0.501
OS01T0952900-01	OsJ_22904	4530.OS01T0952900-01	4530.OS07T0119300-01	0	0	0	0	0	0	0	0.503	0.503
OS01T0952900-01	OsJ_16882	4530.OS01T0952900-01	4530.OS05T0114400-01	0	0	0	0	0.048	0	0	0.510	0.513
OS01T0952900-01	OS07T0589000-01	4530.OS01T0952900-01	4530.OS07T0589000-01	0	0	0	0	0	0	0	0.560	0.560
OS01T0952900-01	OS07T0410300-01	4530.OS01T0952900-01	4530.OS07T0410300-01	0	0	0	0	0	0	0	0.560	0.560
OS02T0610500-01	RAA1	4530.OS02T0610500-01	4530.OS01T0257300-01	0	0	0	0	0	0	0	0.597	0.597
OS02T0610500-01	OsJ_04706	4530.OS02T0610500-01	4530.OS01T0938200-01	0	0	0	0	0.044	0	0	0.601	0.602
OS02T0610500-01	SAP11	4530.OS02T0610500-01	4530.OS08T0504700-01	0	0	0	0	0	0	0	0.494	0.493
OS02T0610500-01	OS04T0678400-01	4530.OS02T0610500-01	4530.OS04T0678400-01	0	0	0	0	0	0	0	0.597	0.597
OS02T0634800-01	OsJ_22904	4530.OS02T0634800-01	4530.OS07T0119300-01	0	0	0	0	0	0	0	0.561	0.561
OS02T0634800-01	OS07T0589000-01	4530.OS02T0634800-01	4530.OS07T0589000-01	0	0	0	0	0	0.048	0	0.563	0.566
OS02T0634800-01	OsJ_11413	4530.OS02T0634800-01	4530.OS03T0445700-01	0	0	0	0	0	0.048	0	0.563	0.566
OS03T0609500-01	OS03T0764600-01	4530.OS03T0609500-01	4530.OS03T0764600-01	0	0	0	0	0.045	0	0	0.771	0.771
OS03T0609500-01	OsJ_16882	4530.OS03T0609500-01	4530.OS05T0114400-01	0	0	0	0	0	0	0	0.771	0.771
OS03T0764600-01	OsJ_11413	4530.OS03T0764600-01	4530.OS03T0445700-01	0	0	0	0	0.045	0	0	0.565	0.566
OS03T0764600-01	OsJ_22904	4530.OS03T0764600-01	4530.OS07T0119300-01	0	0	0	0.926	0.427	0	0	0.506	0.447
OS03T0764600-01	OsJ_16882	4530.OS03T0764600-01	4530.OS05T0114400-01	0	0	0	0	0	0	0	0.565	0.565
OS04T0667800-01	P0034C11.1	4530.OS04T0667800-01	4530.OS01T0246700-01	0	0	0	0	0	0	0	0.478	0.478
OS04T0667800-01	P0560C03.2	4530.OS04T0667800-01	4530.OS05T0549800-01	0	0	0	0	0	0	0	0.471	0.471
OS04T0667800-01	OS05T0480200-01	4530.OS04T0667800-01	4530.OS05T0480200-01	0	0	0	0	0.044	0.142	0	0.474	0.530
OS04T0667800-01	OS06T0267500-01	4530.OS04T0667800-01	4530.OS06T0267500-01	0	0	0	0	0	0	0	0.577	0.577
OS04T0678400-01	RAA1	4530.OS04T0678400-01	4530.OS01T0257300-01	0	0	0	0	0	0	0	0.597	0.597
OS04T0678400-01	OsJ_04706	4530.OS04T0678400-01	4530.OS01T0938200-01	0	0	0	0	0	0	0	0.606	0.606
OS05T0480200-01	P0034C11.1	4530.OS05T0480200-01	4530.OS01T0246700-01	0	0	0	0	0	0	0	0.597	0.597
OS05T0480200-01	WRKY24	4530.OS05T0480200-01	4530.OS01T0826400-01	0	0	0	0	0.044	0	0	0.467	0.468
OS05T0480200-01	OS06T0267500-01	4530.OS05T0480200-01	4530.OS06T0267500-01	0	0	0	0	0	0	0	0.597	0.597
OS05T0480200-01	P0560C03.2	4530.OS05T0480200-01	4530.OS05T0549800-01	0	0	0	0	0	0	0	0.743	0.743
OS05T0495900-01	OsJ_02889	4530.OS05T0495900-01	4530.OS01T0659200-01	0	0	0	0	0	0	0	0.673	0.673
OS05T0495900-01	OsJ_30162	4530.OS05T0495900-01	4530.OS09T0538800-01	0	0	0	0	0	0	0	0.615	0.615
OS06T0267500-01	P0034C11.1	4530.OS06T0267500-01	4530.OS01T0246700-01	0	0	0	0	0.111	0	0	0.597	0.626
OS06T0267500-01	WRKY24	4530.OS06T0267500-01	4530.OS01T0826400-01	0	0	0	0	0	0	0	0.468	0.468
OS06T0267500-01	P0560C03.2	4530.OS06T0267500-01	4530.OS05T0549800-01	0	0	0	0	0	0	0	0.597	0.597
OS07T0410300-01	OsJ_11413	4530.OS07T0410300-01	4530.OS03T0445700-01	0	0	0	0	0	0	0	0.565	0.565
OS07T0410300-01	OsJ_16882	4530.OS07T0410300-01	4530.OS05T0114400-01	0	0	0	0	0	0	0	0.565	0.565
OS07T0410300-01	OsJ_22904	4530.OS07T0410300-01	4530.OS07T0119300-01	0	0	0	0	0	0	0	0.560	0.560
OS07T0410300-01	OS07T0589000-01	4530.OS07T0410300-01	4530.OS07T0589000-01	0	0	0	0	0	0	0	0.561	0.561
OS07T0589000-01	OsJ_16882	4530.OS07T0589000-01	4530.OS05T0114400-01	0	0	0	0	0	0	0	0.565	0.565
OS07T0589000-01	OsJ_22904	4530.OS07T0589000-01	4530.OS07T0119300-01	0	0	0	0	0.095	0	0	0.773	0.785
OS07T0589000-01	OsJ_29287	4530.OS07T0589000-01	4530.OS09T0401000-01	0	0	0	0	0	0	0	0.562	0.562
OS09T0530275-00	OsJ_02543	4530.OS09T0530275-00	4530.OS01T0606900-01	0	0	0	0	0	0	0	0.408	0.408
OS09T0530300-01	OsJ_02543	4530.OS09T0530300-01	4530.OS01T0606900-01	0	0	0	0	0	0	0	0.408	0.408
OSH45	OsJ_13136	4530.OS08T0292900-01	4530.OS03T0820300-01	0	0	0	0	0	0.096	0	0.700	0.717
OSH45	ROC4	4530.OS08T0292900-01	4530.OS04T0569100-01	0	0	0	0	0	0	0	0.773	0.773
OSH71	OsJ_13136	4530.OS05T0129700-01	4530.OS03T0820300-01	0	0	0	0	0	0.096	0	0.561	0.586
OSH71	ROC4	4530.OS05T0129700-01	4530.OS04T0569100-01	0	0	0	0	0	0	0	0.570	0.570
OsJ_02889	OsJ_04739	4530.OS01T0659200-01	4530.OS01T0941200-01	0	0	0	0	0	0	0	0.537	0.537
OsJ_02889	OsJ_30162	4530.OS01T0659200-01	4530.OS09T0538800-01	0	0	0	0	0	0	0	0.547	0.547
OsJ_02889	OsJ_03777	4530.OS01T0659200-01	4530.OS01T0801500-01	0	0	0	0	0	0	0	0.575	0.575
OsJ_02889	OsJ_18736	4530.OS01T0659200-01	4530.OS01T0940700-02	0	0	0	0	0	0	0	0.596	0.596
OsJ_03777	OsJ_30162	4530.OS01T0801500-01	4530.OS09T0538800-01	0	0	0	0	0	0	0	0.496	0.495
OsJ_04706	RAA1	4530.OS01T0938200-01	4530.OS01T0257300-01	0	0	0	0	0	0	0	0.597	0.597
OsJ_11413	OsJ_22904	4530.OS03T0445700-01	4530.OS07T0119300-01	0	0	0	0	0.045	0	0	0.565	0.566
OsJ_11413	OsJ_16882	4530.OS03T0445700-01	4530.OS05T0114400-01	0	0	0	0	0	0	0	0.774	0.774
OsJ_13136	ROC4	4530.OS03T0820300-01	4530.OS04T0569100-01	0	0	0	0	0	0	0	0.565	0.565
OsJ_16882	OsJ_22904	4530.OS05T0114400-01	4530.OS07T0119300-01	0	0	0	0	0	0	0	0.565	0.565
OsJ_18736	OsJ_30162	4530.OS01T0940700-02	4530.OS09T0538800-01	0	0	0	0	0	0	0	0.466	0.465
OsJ_22904	OsJ_29287	4530.OS07T0119300-01	4530.OS09T0401000-01	0	0	0	0	0	0	0	0.561	0.561
P0034C11.1	P0560C03.2	4530.OS01T0246700-01	4530.OS05T0549800-01	0	0	0	0	0	0	0	0.597	0.597
P0034C11.1	WRKY24	4530.OS01T0246700-01	4530.OS01T0826400-01	0	0	0	0	0.278	0	0	0.562	0.670
P0560C03.2	WRKY24	4530.OS05T0549800-01	4530.OS01T0826400-01	0	0	0	0	0	0	0	0.467	0.467
TUB5	TUBB8	4530.OS02T0167300-01	4530.OS03T0661300-01	0	0	0	0.985	0.259	0	0.900	0.772	0.923
